학교명
광영고등학교
광신고등학교
광성고등학교
광문고등학교
경희여자고등학교
경희고등학교
경신고등학교
경성고등학교
경복여자고등학교
경문고등학교
건국대학교사범대학부속고등학교
강서고등학교
강동고등학교
혜화여자고등학교
한성과학고등학교
태릉고등학교
청량고등학교
청담고등학교
창덕여자고등학교
중화고등학교
중경고등학교
잠실고등학교
잠신고등학교
자양고등학교
인헌고등학교
용산고등학교
오금고등학교
영신고등학교
영등포여자고등학교
영등포고등학교
여의도여자고등학교
여의도고등학교
언남고등학교
양재고등학교
신목고등학교
신림고등학교
수도여자고등학교
성동고등학교
석관고등학교
서초고등학교
서울체육고등학교
서울여자고등학교
서울과학고등학교
서울고등학교
상계고등학교
삼성고등학교
반포고등학교
무학여자고등학교
명일여자고등학교
면목고등학교
둔촌고등학교
동작고등학교
대영고등학교
당곡고등학교
금천고등학교
금옥여자고등학교
구일고등학교
구로고등학교
광양고등학교
광남고등학교
관악고등학교
공항고등학교
고척고등학교
경복고등학교
경동고등학교
경기여자고등학교
경기고등학교
개포고등학교
가락고등학교
국립전통예술고등학교
국립국악고등학교
